Execution Year,Lot No.,Location,User,Premium,New Lot Site Area (ha),District Council,Execution Date
2001,Lot No. 1859 in Demarcation District Cheung Chau,Chung Hing Back Street Cheung Chau,Village Type Development,1700000,0.0065,ISLANDS,14 November 2001
2001,Fanling Sheung Shui Town Lot No. 212,Area 36 Sheung Shui,Institution / Community,80000000,1.1866,NORTH,30 October 2001
2001,New Kowloon Inland Lot No. 6361,J/O Nga Tsin Wai Road and College Road Kowloon Tong,Residential R2,144150000,0.2314,KOWLOON CITY,16 October 2001
2001,New Kowloon Inland Lot No. 6372,81 Hing Wah Street West Lai Chi Kok,Other Uses,5580000,0.3683,SHAM SHUI PO,11 October 2001
2001,New Kowloon Inland Lot No. 6370,85 Hing Wah Street West Lai Chi Kok,Other Uses,12950000,0.8248,SHAM SHUI PO,11 October 2001
2001,New Kowloon Inland Lot No. 6369,89 Hing Wah Street West Lai Chi Kok,Other Uses,7020000,0.4388,SHAM SHUI PO,11 October 2001
2001,New Kowloon Inland Lot No. 6368,91 Hing Wah Street West Lai Chi Kok,Other Uses,7730000,0.4565,SHAM SHUI PO,11 October 2001
2001,New Kowloon Inland Lot No. 6367,93 Hing Wah Street West Lai Chi Kok,Other Uses,7730000,0.4741,SHAM SHUI PO,11 October 2001
2001,New Kowloon Inland Lot No. 6366,95 Hing Wah Street West Lai Chi Kok,Other Uses,25310000,1.5279,SHAM SHUI PO,11 October 2001
2001,New Kowloon Inland Lot No. 6331,La Salle Road Kowloon Tong,Residential R2,30000000,0.2289,KOWLOON CITY,12 May 2001
2001,Rural Building Lot No. 1166,25-29 Stanley Village Road Stanley,Residential R3,3550000,0.3775,SOUTHERN,11 April 2001
2001,Lot No. 1950 in Demarcation District No. 328,Tong Fuk Lantau Island,Other Uses,14290000,0.2741,ISLANDS,11 October 2001
2001,Lot No. 453 in Demarcation District No. 302,Tai O Lantau Island,Village Type Development,1000,0.0049,ISLANDS,19 July 2001
2001,Lot No. 2127 in Demarcation District No. 121,Tong Yan San Tsuen Road Yuen Long,Institution / Community,2950000,0.1528,YUEN LONG,19 June 2001
2001,Lot No. 2123 in Demarcation District No. 121,Sha Tseng Road Tong Yan San Tsuen Yuen Long,Residential R3,16000000,0.4101,YUEN LONG,16 February 2001
