Financial Year,Lot No.,Location,Disposal Type,User,Premium,Site Area (sm),District Council,Award Date,Remarks
2022/2023,KOWLOON INLAND LOT NO. 11273,JUNCTION OF SAI YEE STREET AND ARGYLE STREET MONG KOK KOWLOON,TENDER,COMMERCIAL,4729,11537,YAU TSIM MONG,1-Mar-23,null
2022/2023,RURAL BUILDING LOT NO. 1221,CHUNG HOM KOK HONG KONG,TENDER,EXTERNAL TELECOMMUNICATIONS STATION,80,1649.6,SOUTHERN,1-Mar-23,null
2022/2023,TSUEN WAN TOWN LOT NO. 427,PO FUNG ROAD TSUEN WAN NEW TERRITORIES,TENDER,RESIDENTIAL,1438.8,8360,TSUEN WAN,15-Feb-23,null
2022/2023,NEW KOWLOON INLAND LOT NO. 6649,KAI TAK AREA 2A SITE 4 SITE 5(B) AND SITE 10 KAI TAK KOWLOON,TENDER,RESIDENTIAL,8703,19919,KOWLOON CITY,21-Dec-22,null
2022/2023,RURAL BUILDING LOT NO. 1204,CAPE ROAD STANLEY HONG KONG,TENDER,RESIDENTIAL,---------,---------,SOUTHERN,10-Jan-23,Tender Cancelled on 10 January 2023
2022/2023,TUEN MUN TOWN LOT NO. 561,CASTLE PEAK ROAD – TAI LAM TUEN MUN,TENDER,RESIDENTIAL,---------,---------,TUEN MUN,---------,Tender Cancelled on 26 April 2022
2022/2023,KWAI CHUNG TOWN LOT NO. 515,LAI KONG STREET KWAI CHUNG NEW TERRITORIES,TENDER,RESIDENTIAL,1100,3880,KWAI TSING,15-Nov-22,null
2022/2023,LOT NO. 1077 IN SURVEY DISTRICT NO. 3,OFF ANDERSON ROAD KWUN TONG KOWLOON,TENDER,COMMERCIAL,296,5330,SAI KUNG,23-Nov-22,null
2022/2023,INLAND LOT NO. 9069,SAI NING STREET AND VICTORIA ROAD KENNEDY TOWN HONG KONG,TENDER,RESIDENTIAL,439.299,537,CENTRAL & WESTERN,9-Nov-22,null
2022/2023,TUEN MUN TOWN LOT NO. 561,CASTLE PEAK ROAD – TAI LAM TUEN MUN NEW TERRITORIES,TENDER,RESIDENTIAL,4601,33713,TUEN MUN,5-Oct-22,null
2022/2023,SHA TIN TOWN LOT NO. 643,Hin Wo Lane Sha Tin New Territories,TENDER,RESIDENTIAL,786.38,1383.3,SHA TIN,20-Sep-22,null
2022/2023,LOT NO. 1078 IN SURVEY DISTRICT NO. 3,Off Anderson Road Kwun Tong Kowloon,TENDER,COMMERCIAL,766,5880,SAI KUNG,31-Aug-22,null
