Execution Year,Lot No.,Location,User,Premium,District Council,Execution Date
2001,Inland Lot No. 8880,The Belcher's Pokfulam,Residential R1,1200000,CENTRAL & WESTERN,21 March 2001
2001,Rural Building Lot No. 571,72 Deep Water Bay Road Deep Water Bay,Residential R1,45000000,SOUTHERN,23 November 2001
2001,Rural Building Lot No. 742 Section A and Rural Building Lot No. 742 Remaining Portion,82 Peak Road The Peak,Residential R3,2100000,CENTRAL & WESTERN,5 October 2001
2001,Rural Building Lot No. 506 and the Extension thereto,71 Mount Kellett Road The Peak,Residential R3,3050000,CENTRAL & WESTERN,24 September 2001
2001,New Kowloon Inland Lot No. 4146,39 La Salle Road Kowloon Tong,Residential R2,3620000,KOWLOON CITY,12 September 2001
2001,Rural Building Lot No. 810,1 Barker Road The Peak,Residential R3,37330000,CENTRAL & WESTERN,6 September 2001
2001,Rural Building Lot No. 652,33 Tung Tau Wan Road Stanley,Residential R3,500000,SOUTHERN,13 July 2001
2001,New Kowloon Inland Lot No. 4022,9 Durham Road Kowloon Tong,Residential R2,4330000,KOWLOON CITY,14 June 2001
2001,Rural Building Lot No. 365 Section A,57 Shouson Hill Road Shouson Hill,Residential R3,26430000,SOUTHERN,8 June 2001
2001,Kowloon Inland Lot No. 2214 Remaining Portion,83 Waterloo Road Kowloon,Residential R2,77000000,KOWLOON CITY,8 January 2001
2020,Tuen Mun Town Lot No. 483 and the Extension thereto,Siu Hong Area 54 Tuen Mun,Residential R1,550440000 (Part),TUEN MUN,6 October 2020
2022,Kowloon Inland Lot No. 9844,18 Salisbury Road Tsim Sha Tsui,Commercial,30940000,YAU TSIM MONG,20 April 2022
2022,Kwun Tong Inland Lot No. 531,350 Kwun Tong Road Kwun Tong,Non Residential,899220000<br/>(Note 5),KWUN TONG,11 April 2022
2022,Junk Bay Town Lot No. 7,Area 11 Junk Bay Sai Kung,Other Uses,820000,SAI KUNG,18 March 2022
2009,Kowloon Inland Lot No. 6453 Section A Subsection 1 Kowloon Inland Lot No. 6453 Section A Remaining Portion Kowloon Inland Lot No. 6453 Section O Subsection 1 Kowloon Inland Lot No. 6453 Section P and Kowloon Inland Lot No. 6453 Section Q Remaining Portion,8A Hart Avenue Tsim Sha Tsui,Commercial,1000000,YAU TSIM MONG,19 January 2009
2012,Kowloon Inland Lot No. 3281 Section C,9 Belfran Road Kowloon Tong,Residential R2,65450000,KOWLOON CITY,7 November 2012
2012,Kwun Tong Inland Lot No. 63,10 Shing Yip Street Kwun Tong,Non Residential,732370000,KWUN TONG,26 October 2012
